id,type,payer,amount,category,note,date,transferTo,beneficiary
1745054200000,expense,joint,6800,食費,"コストコ",2026-03-07,,
1745054201000,expense,joint,1933,食費,"マルハチ",2026-03-07,,
1745054202000,expense,joint,1221,食費,"マルハチ",2026-03-07,,
1745054208000,expense,joint,360,食費,"コストコドッグ",2026-03-07,,
1745054225000,advance,joint,2876,食費,"スープ",2026-03-07,,girlfriend
1745054226000,advance,joint,921,食費,"とりもも",2026-03-07,,boyfriend
1745054250000,transfer,boyfriend,10000,その他,"",2026-03-07,joint,
1745054251000,transfer,girlfriend,12906,その他,"",2026-03-07,joint,
1745054203000,expense,joint,560,食費,"サブウェイ",2026-03-08,,
1745054204000,expense,joint,1120,食費,"ペッパーランチ",2026-03-08,,
1745054205000,expense,joint,400,食費,"みたらし団子",2026-03-08,,
1745054206000,expense,joint,450,食費,"ケンタポテト",2026-03-08,,
1745054207000,expense,joint,170,食費,"カブ",2026-03-08,,
1745054209000,expense,girlfriend,765,食費,"マックスバリュ",2026-03-10,,
1745054210000,expense,joint,3294,食費,"マルハチ",2026-03-14,,
1745054217000,expense,joint,968,食費,"ローソン",2026-03-14,,
1745054252000,transfer,boyfriend,3000,その他,"",2026-03-14,joint,
1745054211000,expense,joint,8900,娯楽費,"すずらん",2026-03-15,,
1745054212000,expense,joint,1370,食費,"ヒガサパン",2026-03-15,,
1745054213000,expense,joint,3197,その他,"家庭菜園",2026-03-15,,
1745054214000,expense,joint,1086,食費,"マルハチ",2026-03-15,,
1745054215000,expense,joint,220,その他,"家庭菜園",2026-03-15,,
1745054216000,expense,joint,1040,食費,"天ぷら",2026-03-15,,
1745054218000,expense,joint,386,食費,"マックスバリュ",2026-03-15,,
1745054219000,expense,joint,986,その他,"百均",2026-03-15,,
1745054253000,transfer,boyfriend,10000,その他,"",2026-03-15,joint,
1745054254000,transfer,joint,800,その他,"",2026-03-15,girlfriend,
1745054220000,expense,girlfriend,316,その他,"種",2026-03-17,,
1745054221000,expense,girlfriend,1025,食費,"マルハチ",2026-03-17,,
1745054222000,expense,girlfriend,759,食費,"マルハチ",2026-03-18,,
1745054223000,expense,boyfriend,500,食費,"マルハチ",2026-03-25,,
1745054224000,expense,boyfriend,1231,食費,"マルハチ",2026-03-26,,
1745054232000,expense,joint,3680,食費,"賀茂鶴",2026-03-28,,
1745054227000,expense,joint,8464,その他,"本屋",2026-03-29,,
1745054228000,expense,joint,1750,食費,"明石焼き",2026-03-29,,
1745054229000,expense,joint,2050,食費,"魚の棚",2026-03-29,,
1745054230000,expense,joint,550,食費,"スーパー",2026-03-29,,
1745054231000,expense,joint,1306,娯楽費,"スタバ",2026-03-29,,
1745054233000,expense,joint,1050,食費,"パン屋",2026-03-29,,
1745054255000,transfer,boyfriend,200,その他,"",2026-03-29,joint,
1745054256000,transfer,girlfriend,7900,その他,"",2026-03-29,joint,
1745054257000,transfer,boyfriend,12000,その他,"",2026-03-29,joint,
1745054234000,expense,girlfriend,746,食費,"マルハチ",2026-04-01,,
1745054235000,expense,girlfriend,590,食費,"天丼",2026-04-04,,
1745054236000,expense,boyfriend,2260,食費,"塩元帥",2026-04-05,,
1745054237000,expense,girlfriend,1000,食費,"塩元帥",2026-04-05,,
1745054238000,expense,boyfriend,1684,食費,"ハローズ",2026-04-05,,
1745054239000,expense,boyfriend,1138,食費,"マルハチ",2026-04-08,,
1745054240000,expense,joint,1980,食費,"ベーグル",2026-04-11,,
1745054241000,expense,joint,552,食費,"マックスバリュ",2026-04-11,,
1745054242000,expense,joint,2589,食費,"マルハチ",2026-04-11,,
1745054258000,transfer,girlfriend,7700,その他,"",2026-04-11,joint,
1745054243000,expense,joint,2000,娯楽費,"打ちっぱなし",2026-04-12,,
1745054244000,expense,joint,4796,食費,"ランチ",2026-04-12,,
1745054245000,expense,joint,2019,娯楽費,"駄菓子",2026-04-12,,
1745054246000,expense,joint,500,娯楽費,"ゲーセン",2026-04-12,,
1745054247000,expense,boyfriend,1000,娯楽費,"ゲーセン",2026-04-12,,
1745054248000,expense,joint,200,娯楽費,"17アイス",2026-04-12,,
1745054249000,expense,girlfriend,1890,食費,"寿司",2026-04-12,,
1776636892140,expense,girlfriend,1240,食費,"マルハチ",2026-04-14,,
1745054259000,transfer,girlfriend,7000,その他,"",2026-04-18,joint,
1745054260000,expense,joint,3100,食費,"サイゼリヤ",2026-04-18,,
1745054261000,expense,joint,3465,娯楽費,"ジグソーパズル",2026-04-18,,
1745054262000,expense,boyfriend,2111,食費,"パン",2026-04-19,,
1776857671852,expense,girlfriend,588,食費,"",2026-04-19,,
1776857753194,expense,boyfriend,1096,食費,"",2026-04-22,,
1777087937591,expense,boyfriend,3480,食費,"",2026-04-25,,
1777129341475,expense,boyfriend,2679,食費,"丸源",2026-04-26,,
1777178022896,expense,girlfriend,2200,食費,"ランチ",2026-04-26,,
1777187381285,expense,girlfriend,412,娯楽費,"タネ",2026-04-26,,
1777191434484,expense,boyfriend,2578,食費,"マルハチ",2026-04-26,,
1777380407769,expense,boyfriend,2770,食費,"二国ラーメン",2026-04-28,,
1777425216823,expense,girlfriend,1005,食費,"パン3Bake",2026-04-29,,
1777426240170,expense,girlfriend,460,食費,"パンネカヴァロ",2026-04-29,,
1777429697142,expense,girlfriend,420,食費,"石井製パン店",2026-04-29,,
1777436008526,expense,boyfriend,17900,娯楽費,"釣り堀",2026-04-29,,
1777436037537,expense,girlfriend,3400,食費,"牡蠣と釜飯",2026-04-29,,
1777444253747,expense,girlfriend,1123,食費,"ジュース",2026-04-29,,
1777451822102,expense,girlfriend,385,食費,"マルハチ",2026-04-29,,
1777451832837,advance,girlfriend,160,食費,"肉",2026-04-29,,boyfriend
1778296398955,expense,girlfriend,2892,食費,"ブレッドマン",2026-05-09,,
1778296423432,expense,boyfriend,200,交通費,"駐車場",2026-05-09,,
1778302995955,expense,girlfriend,1370,娯楽費,"ジェラート",2026-05-09,,
1778308033108,expense,girlfriend,1000,娯楽費,"ホテル",2026-05-09,,
1778326849671,expense,boyfriend,840,娯楽費,"ケーキ",2026-05-09,,
1778326862819,expense,boyfriend,430,食費,"たこ焼き",2026-05-09,,
1778326888051,expense,boyfriend,759,娯楽費,"虫除けネット",2026-05-09,,
1778326906606,expense,boyfriend,1886,娯楽費,"お菓子館",2026-05-09,,
1778326923417,expense,boyfriend,1681,食費,"ローソン",2026-05-09,,
1778327001985,expense,boyfriend,1045,娯楽費,"ポン酢",2026-05-09,,
1778327020220,expense,boyfriend,7600,食費,"焼肉",2026-05-09,,
1778392664466,expense,girlfriend,2800,娯楽費,"つり",2026-05-10,,
1778392686926,expense,boyfriend,3160,娯楽費,"つり",2026-05-10,,
1778395453864,expense,girlfriend,2640,食費,"海鮮丼",2026-05-10,,
1778407468116,expense,boyfriend,59,食費,"きゅうり",2026-05-10,,
1778407475181,expense,girlfriend,221,食費,"スーパー",2026-05-10,,
1778407642647,expense,girlfriend,300,食費,"たこ焼き",2026-05-10,,
1778409341915,expense,boyfriend,830,娯楽費,"ラー油",2026-05-10,,
1778410400733,expense,girlfriend,537,食費,"あじ",2026-05-10,,
1778576527653,expense,girlfriend,822,食費,"マルハチ",2026-05-12,,
1778898218162,expense,girlfriend,3000,娯楽費,"潮干狩り",2026-05-16,,
1778898246813,expense,girlfriend,1700,食費,"",2026-05-16,,
1778898261366,advance,girlfriend,600,娯楽費,"ビール",2026-05-16,,boyfriend
1778898335760,expense,boyfriend,500,娯楽費,"駐車場",2026-05-16,,
1778905785830,expense,girlfriend,524,食費,"コンビニ",2026-05-16,,
